Item Code,Item Name,Barcode,Cost,VAT.Rsp,GP.%,Qty,Category,Supplier,Brand
100000039,AL RAWABI FRESH MILK FULL CREAM 2 LTR,6291030200025,12.08,12.5,3.40%,4,Fresh Milk,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000044,AL RAWABI FRSH MILK FULL CRM 250ML,6291030200056,1.87,1.99,6.08%,25,Fresh Milk,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000047,AL RAWABI FRESH MILK LOW FAT 2LTR,6291030201022,12.08,12.5,3.40%,1,Fresh Milk,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000050,AL RAWABI ORANGE JUICE 200 ML,6291030100073,1.81,2.25,19.73%,2,Fresh Juice Assorted,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000065,AL RAWABI MANGO JUICE 200ML,6291030101063,1.94,2.25,13.67%,3,Fresh Juice Assorted,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000073,AL RAWABI STRAWBERRY MILK 200 ML,6291030500064,1.63,1.95,16.54%,8,Flavoured Milk,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000075,AL RAWABI STRAWBERRY MILK 500ML,6291030500040,3.32,3.75,11.52%,5,Flavoured Milk,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000080,AL RAWABI CHOCOLATE MILK 500ML,6291030501016,3.32,3.75,11.52%,1,Flavoured Milk,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000082,AL RAWABI CHCOLATE MILK 200ML,6291030501023,1.63,1.95,16.54%,4,Flavoured Milk,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000085,AL RAWABI NUTREE BOOST S/BERRY OATS 200ML,6291030506028,2.11,2.25,6.21%,3,Fresh Juice Assorted,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000087,AL RAWABI NUTREE BOOST ORANGE 200ML,6291030506011,2.11,2.95,28.46%,2,Fresh Juice Assorted,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000098,AL RAWABI FULL CREAM YOGHURT 1KG,6291030400241,6.94,7.5,7.46%,7,Plain Yoghurt,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000099,AL RAWABI FULL CREAM YOGHURT 400GM,6291030400142,3.14,3.5,10.30%,12,Plain Yoghurt,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000101,AL RAWABI FULL CREAM YOGHURT 170GM,6291030400029,1.21,1.5,19.50%,24,Plain Yoghurt,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000102,AL RAWABI FULL CREAM YOGHURT 90GM,6291030400340,0.9,1.25,27.76%,16,Plain Yoghurt,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
